RANK,NAME,REVENUES ($M),REVENUE PERCENT CHANGE,PROFITS ($M),PROFITS PERCENT CHANGE,ASSETS ($M),"MARKET VALUE — AS OF MARCH 29, 2019 ($M)",CHANGE IN RANK (FULL 1000),EMPLOYEES,CHANGE IN RANK (500 ONLY),URL_FORBES,URL_COMPANY,SEARCH_URL,URL_COMPANY_SUFFIX,URL_LEADERSHIP,URL_LEADERSHIP_ROOT,URL_DOMAIN
44,MetLife,"$67,941.0",2.7%,"$5,123.0",27.8%,"$687,538.0","$40,751.0",-1,"48,000",-1,https://fortune.com/fortune500/2019/metlife,http://www.metlife.com,https://www.google.com/search?q=MetLife+corporate+leadership+page,metlife.com,https://www.metlife.com/about-us/corporate-governance/executive-officers/,https://www.metlife.com,.com
45,Procter & Gamble,"$66,832.0",0.9%,"$9,750.0",-36.4%,"$118,310.0","$260,289.4",-3,"92,000",-3,https://fortune.com/fortune500/2019/procter-gamble,http://www.pg.com,https://www.google.com/search?q=Procter & Gamble+corporate+leadership+page,pg.com,https://us.pg.com/leadership-team/,https://us.pg.com,.com
46,United Technologies,"$66,501.0",11.1%,"$5,269.0",15.8%,"$134,211.0","$111,146.0",5,"240,200",5,https://fortune.com/fortune500/2019/united-technologies,http://www.utc.com,https://www.google.com/search?q=United Technologies+corporate+leadership+page,utc.com,https://www.utc.com/en/Our-Company/leadership-team,https://www.utc.com,.com
47,FedEx,"$65,450.0",8.5%,"$4,572.0",52.6%,"$52,330.0","$47,270.8",3,"359,000",3,https://fortune.com/fortune500/2019/fedex,http://www.fedex.com,https://www.google.com/search?q=FedEx+corporate+leadership+page,fedex.com,https://about.van.fedex.com/our-story/leadership/,https://about.van.fedex.com,.com
48,PepsiCo,"$64,661.0",1.8%,"$12,515.0",157.7%,"$77,648.0","$172,094.7",-3,"267,000",-3,https://fortune.com/fortune500/2019/pepsico,http://www.pepsico.com,https://www.google.com/search?q=PepsiCo+corporate+leadership+page,pepsico.com,https://www.pepsico.com/about/leadership,https://www.pepsico.com,.com
49,Archer Daniels Midland,"$64,341.0",5.8%,"$1,810.0",13.5%,"$40,833.0","$24,156.7",-1,"31,600",-1,https://fortune.com/fortune500/2019/archer-daniels-midland,http://www.adm.com,https://www.google.com/search?q=Archer Daniels Midland+corporate+leadership+page,adm.com,https://www.adm.com/our-company/senior-leadership,https://www.adm.com,.com
50,Prudential Financial,"$62,992.0",5.5%,"$4,074.0",-48.2%,"$815,078.0","$37,517.7",2,"50,492",2,https://fortune.com/fortune500/2019/prudential-financial,http://www.prudential.com,https://www.google.com/search?q=Prudential Financial+corporate+leadership+page,prudential.com,http://news.prudential.com/prudential/executiveofficers/,http://news.prudential.com,.com
51,Centene,"$60,116.0",23.8%,$900.0,8.7%,"$30,901.0","$21,939.7",10,"47,300",10,https://fortune.com/fortune500/2019/centene,http://www.centene.com,https://www.google.com/search?q=Centene+corporate+leadership+page,centene.com,https://www.centene.com/who-we-are/board-of-directors.html,https://www.centene.com,.com
52,Albertsons,"$59,924.6",0.4%,$46.3,-,"$21,812.3",-,1,"275,000",1,https://fortune.com/fortune500/2019/albertsons-cos,http://www.albertsonscompanies.com,https://www.google.com/search?q=Albertsons+corporate+leadership+page,albertsonscompanies.com,https://www.albertsonscompanies.com/about-us/leadership.html,https://www.albertsonscompanies.com,.com
53,Walt Disney,"$59,434.0",7.8%,"$12,598.0",40.3%,"$98,598.0","$199,589.9",2,"201,000",2,https://fortune.com/fortune500/2019/walt-disney,http://www.thewaltdisneycompany.com,https://www.google.com/search?q=Walt Disney+corporate+leadership+page,thewaltdisneycompany.com,https://www.thewaltdisneycompany.com/about/,https://www.thewaltdisneycompany.com,.com
